"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.5","1","270","90","92.144","2.1440000000000055","0.34300000000001774","178.199","-1.8009999999999877","-19.064","-1.123000000000001","0.015","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","292.5","112.5","111.195","-1.3050000000000068","-3.1059999999999945","178.199","-1.8009999999999877","-19.214","-1.2729999999999997","0.015","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","315","135","131.003","-3.997000000000014","-5.798000000000002","178.199","-1.8009999999999877","-19.268","-1.3270000000000017","0.024","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","337.5","157.5","152.18899999999996","-5.3110000000000355","-7.112000000000023","178.199","-1.8009999999999877","-18.675","-0.7340000000000018","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","2","0","-180","-178.002","1.9979999999999905","-0.014","177.988","-2.0120000000000005","-18.664","0","0.038","4","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","22.5","-157.5","-157.167","0.3329999999999984","-1.6789999999999985","177.988","-2.0120000000000005","-18.634","0.030000000000001137","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","45","-135","-131.97899999999998","3.021000000000015","1.0090000000000003","177.988","-2.0120000000000005","-18.898","-0.2339999999999982","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","67.5","-112.5","-110.919","1.581000000000003","-0.4309999999999974","177.988","-2.0120000000000005","-18.903","-0.23899999999999721","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","90","-90","-88.513","1.4869999999999948","-0.5250000000000057","177.988","-2.0120000000000005","-19.484","-0.8200000000000003","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","112.5","-67.5","-69.127","-1.6269999999999953","-3.638999999999996","177.988","-2.0120000000000005","-19.341","-0.6769999999999996","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","135","-45","-48.43299999999999","-3.4329999999999927","-5.444999999999993","177.988","-2.0120000000000005","-19.27","-0.6059999999999981","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","157.5","-22.5","-25.562999999999988","-3.062999999999988","-5.074999999999989","177.988","-2.0120000000000005","-18.783","-0.11899999999999977","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","180","0","0","0","-2.0120000000000005","177.988","-2.0120000000000005","-18.816","-0.15199999999999747","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","202.5","22.5","20.623999999999995","-1.8760000000000048","-3.8880000000000052","177.988","-2.0120000000000005","-18.803","-0.13899999999999935","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","225","45","45.56999999999999","0.5699999999999932","-1.4420000000000073","177.988","-2.0120000000000005","-19.164","-0.5","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","247.5","67.5","66.72899999999998","-0.771000000000015","-2.7830000000000155","177.988","-2.0120000000000005","-19.198","-0.5339999999999989","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","270","90","90.156","0.1560000000000059","-1.8559999999999945","177.988","-2.0120000000000005","-19.871","-1.2069999999999972","0.01","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","292.5","112.5","109.07400000000001","-3.4259999999999877","-5.437999999999988","177.988","-2.0120000000000005","-19.781","-1.1169999999999973","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","315","135","129.11899999999997","-5.881000000000029","-7.893000000000029","177.988","-2.0120000000000005","-19.764","-1.0999999999999979","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.5","2","337.5","157.5","151.632","-5.867999999999995","-7.8799999999999955","177.988","-2.0120000000000005","-19.154","-0.48999999999999844","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.7","1","0","-180","-181.895","-1.8950000000000102","0.063","181.958","1.9579999999999984","-17.752","0","0.064","4","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","22.5","-157.5","-161.099","-3.5989999999999895","-1.6409999999999982","181.958","1.9579999999999984","-17.744","0.007999999999999119","0.016","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","45","-135","-136.562","-1.5620000000000118","0.3960000000000008","181.958","1.9579999999999984","-17.757","-0.005000000000002558","0.032","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","67.5","-112.5","-115.513","-3.0130000000000052","-1.0550000000000068","181.958","1.9579999999999984","-17.883","-0.13100000000000023","0.074","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","90","-90","-92.651","-2.6509999999999962","-0.6929999999999978","181.958","1.9579999999999984","-18.403","-0.6509999999999998","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
