"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"3","1","90","87.89","-2.1099999999999994","-21.998","-1.2390000000000008","0.193","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","112.5","109.101","-3.399000000000001","-22.218","-1.4589999999999996","0.011","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","135","130.392","-4.608000000000004","-21.987","-1.227999999999998","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","157.5","153.656","-3.843999999999994","-21.972","-1.213000000000001","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","180","184.172","4.171999999999997","-21.144","-0.384999999999998","0.009","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","202.5","206.814","4.313999999999993","-21.179","-0.41999999999999815","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","225","229.914","4.913999999999987","-21.639","-0.879999999999999","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","247.5","250.897","3.3969999999999914","-21.64","-0.8810000000000002","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","270","271.56100000000004","1.5610000000000355","-22.15","-1.3909999999999982","0.038","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","292.5","291.63599999999997","-0.8640000000000327","-22.22","-1.4609999999999985","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","315","312.197","-2.8029999999999973","-21.594","-0.8350000000000009","1.013","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","337.5","336.472","-1.02800000000002","-21.002","-0.24299999999999855","0.005","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","2","0","-0.05","-0.05","-21.989","0","0.051","4","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","22.5","21.704","-0.7959999999999994","-21.87","0.11899999999999977","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","45","44.703","-0.29699999999999704","-22.14","-0.1509999999999998","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","67.5","65.235","-2.2650000000000006","-22.13","-0.14099999999999824","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","90","85.704","-4.2960000000000065","-22.657","-0.6679999999999993","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","112.5","105.991","-6.509","-22.876","-0.8870000000000005","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","135","126.316","-8.683999999999997","-22.711","-0.7219999999999978","0.009","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","157.5","149.105","-8.39500000000001","-22.766","-0.7769999999999975","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","180","179.5","-0.5","-22.08","-0.09099999999999753","0","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","202.5","202.273","-0.22700000000000387","-22.244","-0.254999999999999","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","225","225.987","0.9869999999999948","-22.869","-0.879999999999999","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","247.5","247.57","0.06999999999999318","-22.964","-0.9749999999999979","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","270","268.938","-1.0620000000000118","-23.527","-1.5380000000000003","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","292.5","289.836","-2.6639999999999873","-23.511","-1.5219999999999985","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","315","310.734","-4.2660000000000196","-23.105","-1.1159999999999997","0.013","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3","2","337.5","334.84","-2.660000000000025","-22.756","-0.7669999999999995","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3.3","1","0","0.103","0.103","-23.071","0","0.107","4","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","22.5","23.681","1.181000000000001","-23.274","-0.2029999999999994","0.025","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","45","45.705","0.7049999999999983","-23.54","-0.46899999999999764","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","67.5","67.818","0.31799999999999784","-23.594","-0.5229999999999997","0.013","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","90","87.775","-2.2249999999999943","-24.239","-1.1679999999999993","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","112.5","107.972","-4.528000000000006","-24.317","-1.2459999999999987","0.005","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","135","131.266","-3.734000000000009","-23.879","-0.8079999999999998","0","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","157.5","154.622","-2.877999999999986","-23.79","-0.7189999999999976","0.013","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","180","183.232","3.2319999999999993","-22.976","0.09500000000000242","0.01","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","202.5","206.527","4.026999999999987","-23.178","-0.10699999999999932","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","225","228.067","3.0670000000000073","-23.51","-0.43900000000000006","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","247.5","249.858","2.358000000000004","-23.52","-0.44899999999999807","0","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","270","269.361","-0.63900000000001","-24.087","-1.0159999999999982","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","292.5","289.443","-3.0570000000000164","-24.072","-1.0009999999999977","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","315","312.73199999999997","-2.268000000000029","-23.681","-0.6099999999999994","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","1","337.5","336.543","-0.9569999999999936","-23.62","-0.5489999999999995","0","2","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","2","0","-0.113","-0.113","-26.486","0","0.12","4","captures/pluto_phase_frequency_sweep_20260727/f3300_ch2"
